"","Title","Genre","Premiere","Episodes","Seasons","Min_Time","Max_Time","Language","Status","Service","Format","Origin","Network","Region"
"2757","I Feel Pretty","Comedy",2018-04-20,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2758","Charming","Animation",2018-04-20,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2759","Zoe","Science-Fiction",2018-04-21,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2760","Us and Them","Drama",2018-04-28,NA,NA,1,1,"Mandarin","Distribution","Netflix","Film","Original",NA,NA
"2761","MILF","Romantic / Comedy",2018-05-02,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2762","Anon","Science-Fiction",2018-05-04,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2763","Shéhérazade","Drama",2018-05-11,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2764","Girl","Drama",2018-05-12,NA,NA,1,1,"Dutch","Distribution","Netflix","Film","Original",NA,NA
"2765","Happy as Lazzaro","Drama",2018-05-13,NA,NA,2,2,"Italian","Distribution","Netflix","Film","Original",NA,NA
"2766","Godzilla: City on the Edge of Battle","Anime",2018-05-18,NA,NA,1,1,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2767","In Darkness","Thriller",2018-05-25,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2768","How to Get Over a Breakup","Comedy",2018-05-31,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2769","My Teacher, My Obsession","Thriller",2018-06-12,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2770","Kuntilanak","Horror",2018-06-15,NA,NA,1,1,"Indonesian","Distribution","Netflix","Film","Original",NA,NA
"2771","Budapest","Comedy",2018-06-27,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2772","All Is Well","Drama",2018-07-01,NA,NA,1,1,"German","Distribution","Netflix","Film","Original",NA,NA
"2773","Flavors of Youth: International Version","Anime",2018-07-06,NA,NA,1,1,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2774","Sabrina","Horror",2018-07-12,NA,NA,1,1,"Indonesian","Distribution","Netflix","Film","Original",NA,NA
"2775","Break","Comedy",2018-07-18,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2776","Bleach","Action-drama",2018-07-20,NA,NA,1,1,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2777","Illang: The Wolf Brigade","Action",2018-07-25,NA,NA,2,2,"Korean","Distribution","Netflix","Film","Original",NA,NA
"2778","Pulang","Drama",2018-07-26,NA,NA,1,1,"Malay","Distribution","Netflix","Film","Original",NA,NA
"2779","A Land Imagined","Thriller",2018-08-07,NA,NA,1,1,"Mandarin","Distribution","Netflix","Film","Original",NA,NA
"2780","May the Devil Take You","Thriller",2018-08-09,NA,NA,1,1,"Indonesian","Distribution","Netflix","Film","Original",NA,NA
"2781","A Fortunate Man","Drama",2018-08-20,NA,NA,2,2,"Danish","Distribution","Netflix","Film","Original",NA,NA
"2782","A.X.L.","Science-Fiction",2018-08-24,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2783","Modest Heroes: Ponoc Short Films Theater","Anime",2018-08-24,NA,NA,51,51,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2784","I Am Jonas","Drama",2018-08-28,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2785","High Society","Drama",2018-08-29,NA,NA,2,2,"Korean","Distribution","Netflix","Film","Original",NA,NA
"2786","Operation Finale","Drama",2018-08-29,NA,NA,2,2,"English","Distribution","Netflix","Film","Original",NA,NA
"2787","Munafik 2","Horror",2018-08-30,NA,NA,1,1,"Malay","Distribution","Netflix","Film","Original",NA,NA
"2788","Yucatán","Comedy",2018-08-31,NA,NA,2,2,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2789","A Twelve-Year Night","Drama",2018-09-01,NA,NA,2,2,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2790","Close Enemies","Drama",2018-09-01,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2791","Curtiz","Drama",2018-09-01,NA,NA,1,1,"English/Hungarian","Distribution","Netflix","Film","Original",NA,NA
"2792","At Eternity's Gate","Biopic",2018-09-03,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2793","Joy","Drama",2018-09-03,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2794","Goyo: The Boy General","Drama",2018-09-05,NA,NA,2,2,"Filipino","Distribution","Netflix","Film","Original",NA,NA
"2795","Lady J","Drama",2018-09-07,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2796","Next Gen","Animation / Action / Science-Fiction",2018-09-07,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2797","When Angels Sleep","Drama",2018-09-07,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2798","Cities of Last Things","Drama",2018-09-08,NA,NA,1,1,"Mandarin","Distribution","Netflix","Film","Original",NA,NA
"2799","The Burial of Kojo","Drama",2018-09-21,NA,NA,1,1,"Akan","Distribution","Netflix","Film","Original",NA,NA
"2800","Girls with Balls","Comedy",2018-09-23,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2801","Paskal","Drama",2018-09-27,NA,NA,1,1,"Malay","Distribution","Netflix","Film","Original",NA,NA
"2802","Battle","Drama",2018-09-28,NA,NA,1,1,"Norwegian","Distribution","Netflix","Film","Original",NA,NA
"2803","The Awakening of Motti Wolkenbruch","Comedy",2018-09-29,NA,NA,1,1,"German","Distribution","Netflix","Film","Original",NA,NA
"2804","Animas","Horror",2018-10-03,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2805","El Potro: Unstoppable","Drama",2018-10-04,NA,NA,2,2,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2806","Malevolent","Horror",2018-10-05,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2807","Nothing to Hide","Drama",2018-10-17,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2808","Pachamama","Animation",2018-10-20,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2809","Your Son","Drama",2018-10-20,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2810","The Photographer of Mauthausen","Drama",2018-10-26,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2811","Gun City","Crime / Thriller",2018-10-31,NA,NA,2,2,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2812","The Tree of Blood","Drama",2018-10-31,NA,NA,2,2,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2813","Dear Ex","Drama",2018-11-02,NA,NA,1,1,"Mandarin","Distribution","Netflix","Film","Original",NA,NA
"2814","Bayonet","Drama",2018-11-03,NA,NA,1,1,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2815","Godzilla: The Planet Eater","Anime",2018-11-03,NA,NA,1,1,"Japanese","Distribution","Netflix","Film","Original",NA,NA
"2816","Mirage","Drama",2018-11-13,NA,NA,2,2,"Spanish","Distribution","Netflix","Film","Original",NA,NA
"2817","Suzzanna: Buried Alive","Horror",2018-11-15,NA,NA,2,2,"Indonesian","Distribution","Netflix","Film","Original",NA,NA
"2818","Bad Seeds","Comedy",2018-11-21,NA,NA,1,1,"French","Distribution","Netflix","Film","Original",NA,NA
"2819","The Plagues of Breslau","Thriller",2018-11-28,NA,NA,1,1,"Polish","Distribution","Netflix","Film","Original",NA,NA
"2820","Revenger","Action",2018-12-06,NA,NA,1,1,"Korean","Distribution","Netflix","Film","Original",NA,NA
"2821","Willy and the Guardians of the Lake: Tales from the Lakeside Winter Adventure","Animation",2018-12-06,NA,NA,1,1,"Hungarian","Distribution","Netflix","Film","Original",NA,NA
"2822","Dumplin'","Musical / Dramedy",2018-12-07,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
"2823","The Drug King","Drama",2018-12-19,NA,NA,2,2,"Korean","Distribution","Netflix","Film","Original",NA,NA
"2824","Second Act","Romantic / Comedy",2018-12-21,NA,NA,1,1,"English","Distribution","Netflix","Film","Original",NA,NA
